document,연번,소재지,업태,업종,전화번호,업소명,category,source_file,카페명,경도,순번,위도,상세페이지 링크,주소,음식점명,제목,상세정보,링크,설명,이름,특칭,대주제,중주제,소주제,읍면,경로당명,주 소,설치일자,작품분류,작품명,건축물위치(미술작품 설치장소),체육시설명,시설위치,세부용도,사용승인일,지상,연면적합계(제곱미터),구분,세대수,아파트 단지명,위 치(도로명 주소),동수,지하,건축면적(제곱미터),시군구,시도,사대수,부지면적(제곱미터),소유기관,거리(미터),연면적(제곱미터),면적(제곱미터),사대폭(미터),시설명,관리주체,영업자,설치연도,설치 업체명,시군명,데이터 보관 관리 방식,미세먼지 및 오존 농도값 표출 방식,설치 장소,의료기관종별,의료기관주소(도로명),의료기관전화번호,의료기관명,사무소전화번호,중개업소명,사무소주소(도로명),등록번호,충전소명,이용가능종료시각,충전소위치상세,소재지도로명주소,이용가능시작시각,시도명,관리업체명,관리업체전화번호,충전요금(킬로그램당),참고사항,소재지지번주소,비고,휴점일,시군구명,행정동,관리단체,설치장소,소재지전화,업종명,영업소 주소(도로명),읍면별,인구수,여,남,단체대표,회원수,단체명,기관명,프로그램명,모집정원,상호,시설소재지(주소),현원(명),정원(명),연락처,잡종지_지번수,하천_면적,과수원_지번수,철도용지_지번수,목장용지_지번수,답_면적,도로_면적,철도용지_면적,체육용지_지번수,유지_면적,구거_지번수,유지_지번수,종교용지_지번수,주차장_면적,대_면적,공원_지번수,제방_지번수,주차장_지번수,도로_지번수,사적지_지번수,묘지_면적,공원_면적,과수원_면적,목장용지_면적,광천지_지번수,창고용지_면적,임야_면적,수도용지_면적,하천_지번수,체육용지_면적,양어장_지번수,주유소용지_면적,전_면적,광천지_면적,주유소용지_지번수,염전_면적,유원지_지번수,공장용지_면적,학교용지_지번수,학교용지_면적,전_지번수,묘지_지번수,종교용지_면적,사적지_면적,구거_면적,잡종지_면적,염전_지번수,임야_지번수,공장용지_지번수,토지소재지,양어장_면적,대_지번수,답_지번수,제방_면적,창고용지_지번수,수도용지_지번수,유원지_면적,1일 평균 이용자수,마을회관명,재질,입수연유,명칭,소장구분,소장품번호,주수량,국적_시대,교육시간,과정명,접수기간,교육기간,교육일수,교육장소,교육일
가야정 (mobum sikdang.csv),,,,,,,mobum sikdang.csv,mobum_sikdang.csv,,,1,,https://www.haman.go.kr/02373/02374/02379.web?amode=view&idx=317&pageunit=999&category=R0600,경상남도 함안군 가야읍 말산2길 29,가야정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강촌 (mobum sikdang.csv),,,,,,,mobum sikdang.csv,mobum_sikdang.csv,,,2,,https://www.haman.go.kr/02373/02374/02379.web?amode=view&idx=322&pageunit=999&category=R0600,"경상남도 함안군 가야읍 성내남길 31-19,  1호",강촌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
검암산천 은하수생고기 (mobum sikdang.csv),,,,,,,mobum sikdang.csv,mobum_sikdang.csv,,,3,,https://www.haman.go.kr/02373/02374/02379.web?amode=view&idx=323&pageunit=999&category=R0600,경상남도 함안군 가야읍 중검길 75,검암산천 은하수생고기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아라곰탕 (mobum sikdang.csv),,,,,,,mobum sikdang.csv,mobum_sikdang.csv,,,4,,https://www.haman.go.kr/02373/02374/02379.web?amode=view&idx=318&pageunit=999&category=R0600,경상남도 함안군 가야읍 말산로 101,아라곰탕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아라정 (mobum sikdang.csv),,,,,,,mobum sikdang.csv,mobum_sikdang.csv,,,5,,https://www.haman.go.kr/02373/02374/02379.web?amode=view&idx=88&pageunit=999&category=R0600,경남 함안군 가야읍 가야로 60,아라정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
언양석쇠불고기 (mobum sikdang.csv),,,,,,,mobum sikdang.csv,mobum_sikdang.csv,,,6,,https://www.haman.go.kr/02373/02374/02379.web?amode=view&idx=324&pageunit=999&category=R0600,"경상남도 함안군 가야읍 중앙남3길 30 , 1층",언양석쇠불고기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
철따라횟집 (mobum sikdang.csv),,,,,,,mobum sikdang.csv,mobum_sikdang.csv,,,7,,https://www.haman.go.kr/02373/02374/02379.web?amode=view&idx=326&pageunit=999&category=R0600,경상남도 함안군 가야읍 중앙북길 34,철따라횟집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사철 박경순 냉면 (mobum sikdang.csv),,,,,,,mobum sikdang.csv,mobum_sikdang.csv,,,8,,https://www.haman.go.kr/02373/02374/02379.web?amode=view&idx=348&pageunit=999&category=R0600,경상남도 함안군 칠원읍 용산2길 65  2층,사철 박경순 냉면,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
야촌원두막 (mobum sikdang.csv),,,,,,,mobum sikdang.csv,mobum_sikdang.csv,,,9,,https://www.haman.go.kr/02373/02374/02379.web?amode=view&idx=352&pageunit=999&category=R0600,경상남도 함안군 칠원읍 야촌1길 16,야촌원두막,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전원초밥 (mobum sikdang.csv),,,,,,,mobum sikdang.csv,mobum_sikdang.csv,,,10,,https://www.haman.go.kr/02373/02374/02379.web?amode=view&idx=350&pageunit=999&category=R0600,경상남도 함안군 칠원읍 경남대로 1823,전원초밥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
참하누 (mobum sikdang.csv),,,,,,,mobum sikdang.csv,mobum_sikdang.csv,,,11,,https://www.haman.go.kr/02373/02374/02379.web?amode=view&idx=351&pageunit=999&category=R0600,경상남도 함안군 칠원읍 송평로 480,참하누,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
처음본 명품민물장어 (mobum sikdang.csv),,,,,,,mobum sikdang.csv,mobum_sikdang.csv,,,12,,https://www.haman.go.kr/02373/02374/02379.web?amode=view&idx=486&pageunit=999&category=R0600,경상남도 함안군 칠원읍 경남대로 1763,처음본 명품민물장어,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아라분식 (mobum sikdang.csv),,,,,,,mobum sikdang.csv,mobum_sikdang.csv,,,13,,https://www.haman.go.kr/02373/02374/02379.web?amode=view&idx=386&pageunit=999&category=R0600,경상남도 함안군 군북면 중암6길 11-16,아라분식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양평해장국(군북점) (mobum sikdang.csv),,,,,,,mobum sikdang.csv,mobum_sikdang.csv,,,14,,https://www.haman.go.kr/02373/02374/02379.web?amode=view&idx=330&pageunit=999&category=R0600,경상남도 함안군 군북면 함마대로 850,양평해장국(군북점),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
함안(부산방향)휴게소 (mobum sikdang.csv),,,,,,,mobum sikdang.csv,mobum_sikdang.csv,,,15,,https://www.haman.go.kr/02373/02374/02379.web?amode=view&idx=331&pageunit=999&category=R0600,경상남도 함안군 군북면 현포로 205,함안(부산방향)휴게소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
함안(순천방향)휴게소 (mobum sikdang.csv),,,,,,,mobum sikdang.csv,mobum_sikdang.csv,,,16,,https://www.haman.go.kr/02373/02374/02379.web?amode=view&idx=332&pageunit=999&category=R0600,경상남도 함안군 군북면 현포로 205-1,함안(순천방향)휴게소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
황토복집 (mobum sikdang.csv),,,,,,,mobum sikdang.csv,mobum_sikdang.csv,,,17,,https://www.haman.go.kr/02373/02374/02379.web?amode=view&idx=328&pageunit=999&category=R0600,경상남도 함안군 군북면 지두3길 6,황토복집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
솔밭가든 (mobum sikdang.csv),,,,,,,mobum sikdang.csv,mobum_sikdang.csv,,,18,,https://www.haman.go.kr/02373/02374/02379.web?amode=view&idx=335&pageunit=999&category=R0600,경상남도 함안군 법수면 법수로 492,솔밭가든,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
너와촌 (mobum sikdang.csv),,,,,,,mobum sikdang.csv,mobum_sikdang.csv,,,19,,https://www.haman.go.kr/02373/02374/02379.web?amode=view&idx=347&pageunit=999&category=R0600,경상남도 함안군 칠서면 공단상가3길 40,너와촌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
칠서휴게소(양평방향) (mobum sikdang.csv),,,,,,,mobum sikdang.csv,mobum_sikdang.csv,,,20,,https://www.haman.go.kr/02373/02374/02379.web?amode=view&idx=345&pageunit=999&category=R0600,"경상남도 함안군 칠서면 계룡로 122-1  , 칠서(양평)휴게소",칠서휴게소(양평방향),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부경갈비 (mobum sikdang.csv),,,,,,,mobum sikdang.csv,mobum_sikdang.csv,,,21,,https://www.haman.go.kr/02373/02374/02379.web?amode=view&idx=344&pageunit=999&category=R0600,경상남도 함안군 칠북면 온천로 47,부경갈비,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
맛고을한우마당 (mobum sikdang.csv),,,,,,,mobum sikdang.csv,mobum_sikdang.csv,,,22,,https://www.haman.go.kr/02373/02374/02379.web?amode=view&idx=340&pageunit=999&category=R0600,경상남도 함안군 산인면 함마대로 1814,맛고을한우마당,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
본가삼계탕 (mobum sikdang.csv),,,,,,,mobum sikdang.csv,mobum_sikdang.csv,,,23,,https://www.haman.go.kr/02373/02374/02379.web?amode=view&idx=339&pageunit=999&category=R0600,경상남도 함안군 산인면 신산로 224,본가삼계탕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양평해장국 (mobum sikdang.csv),,,,,,,mobum sikdang.csv,mobum_sikdang.csv,,,24,,https://www.haman.go.kr/02373/02374/02379.web?amode=view&idx=341&pageunit=999&category=R0600,경상남도 함안군 산인면 함마대로 2280,양평해장국,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
식객 (mobum sikdang.csv),,,,,,,mobum sikdang.csv,mobum_sikdang.csv,,,25,,https://www.haman.go.kr/02373/02374/02379.web?amode=view&idx=342&pageunit=999&category=R0600,경상남도 함안군 여항면 내곡3길 47,식객,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이방실 (persons.csv),,,,,,,persons.csv,persons.csv,,,,,,,,,,https://www.haman.go.kr/01834/01862/02186.web?amode=view&idx=2186,"이방실 장군은 고려시대(高麗時代)에 판도판서(版圖判書)를 지낸 이원(李源)의 아들로서 고려 공민왕때의 유명한 구국장군으로 함안 이씨(咸安李氏)의 중시조이다. 그는 고려 충렬왕 24년(1298)에 지금의 경남 함안군 여항면 내동에서 투우봉의 정기를 이어 받아 태어났으며 고려 말엽의 외침(外侵)에 의한 존망(存亡)의 위기를 누차에 걸쳐 구한 맹장이다. 그는 고려 오백년 역사를 지킨 4성군(四聖君)과 16공신 중의 한 사람으로서 현재 경기도 연천군 미산면에 소재하는 숭의전(崇義殿)에 배향(配享)되어 국가에서 춘추(春秋)로 제사를 지내고 있다.
이방실 장군은 충목왕(忠穆王)을 따라 원나라에 들어가 시종할 때 뛰어난 지모(智謀)와 무용(武勇)으로써 왕을 안전하게 보필한 공으로 왕이 즉위하자 그 지략을 인정하고 인품을 가상(嘉尙)히 여겨 중랑장(中郞將)에 보하였고 호군(護軍)에 옮겨 전(田) 백결(百結)을 하사(下賜)하였다 .1354년(공민왕3)에 대호군(大護軍)으로 올라 선성(宣城)에서 다루가치 노연상(魯連祥)이 모반하자 용주(龍州)의 병사를 이끌고 이를 진압하였다. 1359년(공민왕8)에 우리 나라를 침략한 홍건적의 괴수 모거경 위평장(僞平章)등은 4만의 홍건적(紅巾賊)을 이끌고 압록강의 얼음판을 건너와 의주(義州)를 함락하고 이 나라 관원(官員)인 부사(副使) 주 영세(朱永世) 및 주민 천여명을 죽이고 다시 정.린주(靜.麟州)를 함락하여 도지휘사(都指揮使) 김 원봉(金元鳳)을 살해하므로써 드디어 안주(安州)에 웅거하였다. 이때 이방실 장군은 안주만호(安州萬戶)로 안우(安祐), 이음(李蔭), 이인우(李仁祐) 등과 협력하여 적을 압록(鴨綠) 서경(西京)간에서 격파한 공으로 이방실 장군은 추성협보공신 추밀원부사(推誠協輔功臣 樞密院副使)로, 안 우는 추충절의정란공신 중서평장정사(推忠節義定亂功臣 中書平章政事)로, 김 득배는 수충보절정원공신 정당문학(輸忠保節定遠功臣 政堂文學)으로 제수되었다.
뒤에 홍건적(紅巾賊)이 전함 70여척으로 서해도(西海道)에 재침하자 풍주(豊州)에서 이를 물리치니 왕은 크게 기뻐하며 제신(諸臣)에게 향연을 내리시고 이방실 장군에게 옥대(玉帶)와 옥영(玉纓)을 하사(下賜)하였다. 이때 공주가 이를 보고 말하기를 ""어찌 지보(至寶)를 사랑하지 않고 가볍게 남에게 주시나이까"" 하니 왕이 말하기를 ""우리 종사(宗社)가 폐허가 되지 않게 함은 다 방실의 공(功)이다. 내가 비록 살을 베어 주더라도 오히려 능히 보답하지 못하겠거늘, 하물며 이 물건이 어찌 아까우리요"" 라고 말하였다. 왕이 말씀하신 사실로 보아 우리 민족을 구한 충렬공 이방실 장군의 업적은 성웅(聖雄)임과 동시에 위대한 맹장임을 누구나 다 알 수 있을 것이다.
1362년(공민왕11)에 이방실 장군은 서북면 도지휘사(西北面 都指揮使)로 제수되어 총병관(總兵官) 정세운(鄭世雲), 안우(安祐), 김득배(金得培), 황상(黃裳), 한방신(韓方信), 이여경(李餘慶), 안우경(安遇慶), 최영(崔瑩) 등과 함께 20만 대군을 이끌고 동교(東郊)의 천수사(天壽寺) 앞에서 진을 치고 서울을 포위하여 적을 섬멸하고 잔적을 압록강 너머로 격퇴, 개선하게 되었다.
이와 같은 구국의 공을 평소부터 시기하던 간신(奸臣) 김용(金鏞)은 위계(僞計)로 불세출(不世出)의 대공을 세운 3원수인 안우, 김득배와 더불어 이방실 장군을 살해하고 말았다. 이때 이방실 장군의 아들 중문(中文)은 나이 겨우 10여세였으나 당시의 사람들은 ""지금 우리 모두가 침식을 편히 함은 다 원수님의 공이다""라고 하면서 그를 극진히 보호하였다 한다. 국난(國亂)을 극복한 영웅들 가운데 이방실 장군을 비롯한 김득배, 안우 등 고려 3원수가 국운이 누란(累卵)의 위기(危機)에 처하여 서울 이 함락되고 거의 대부분의 국토가 홍건적에게 빼앗겨 나라마저 잃을 시기에 외세(外勢)의 도움없이 이를 수복구국(收復救國)하였다는 것은 고구려의 영양왕때 수나라 백만 대군을 물리친 을지문덕(乙支文德)장군 이나 조선조 선조(朝鮮朝 宣祖)때 임진왜란(壬辰倭亂)을 평정(平定)한 이순신(李舜臣)장군의 공(功)과 더불어 우리 민족사(民族史)에 길이 빛날 것이다.",이방실,"홍건적을 물리친, 이방실 장군 (1298~1362)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
몽골에서 (persons.csv),,,,,,,persons.csv,persons.csv,,,,,,,,,,https://www.haman.go.kr/01834/01862/02187.web?amode=view&idx=2187,"자는 원일(元一는),  호는 대암(大岩)이다. 본관은 인천이며 몽골에서 항일독립운동을 한 순국선열이다.
1883.11.21. 경남 함안군 군북면 명관리에서 가난한 농사꾼의 2형제 중 장남으로 태어났다. 어릴적 군북 도천재 서당에서 한학을 배웠다. 부모님과 아내를 모두 원인도 모르는 병으로 잃고 1906년 돈을 벌기 위해 서울로 상경하였다.
타고난 근면성실함을 인정받아 기독교 선교사를 통해 1907년 세브란스의학교에 입학하여 1911년 6월 세브란스의학교 제2회 졸업생으로 의사가 되었다.
세브란스의학교 재학시설 도산 안창호 선생의 감화를 받아 항일 독립운동에 뜻을 세우게 되고, 도산 안창호선생이 최남선선생에게 추천하여 청년학우회에 가입하였다.
1911년 105인사건에 연루되어 중국 남경으로 망명하여 기독회의원에서 일하게 되었다. 1914년 김규식선생의 권유로 다시 몽골로 건너가'동의의국(同義醫局)'이라는 병원을 개원하고, 김규식의 사촌여동생(김은식)과 결혼하였다.
몽골에서 근대적 의술로 전염병을 퇴치하는데 크게 기여하였고, 몽골의 마지막 국왕의 주치의가 되어 1919년 7월 몽골 최고의 훈장인 에르데니 인 오치르를 수여받았다.
			현재까지도 몽골에서는 신의(神醫)로 불린다.
또한'동의의국(同義醫局)'은 중국과 러시아를 연결하는 독립운동 거점기지로 독립운동가들의 숙식과 편의를 제공하였으며, 몽골에 사는 동포들의 영사관 역할을 하였다.
뿐만 아니라, 독립운동 자금을 조달하는 등 주요한 비밀 항일활동에 큰 역할을 했다.
신한청년당 대표로 파리강화회의에 참석한 김규식의 참석경비 2천원을 제공하였고, 상해임시정부의 군의관 감무(監務)로 활약하였으며, 한인사회당과 의열단 비밀요원으로 활동하면서 의열단에 폭탄제조기술자 헝가리인 마쟈르를 소개하여 마쟈르의 도움으로 제조된 폭탄들로 황옥경부 사건, 김시현 사건을 비롯한 의열단의 파괴공작을 펼칠 수 있었다.
특히, 1920년 레닌정부가 상해임시정부에 지원하기로 한 200만 루블의 금괴 중 한인사회당에 지급하기로 한 40만 루블의 금괴 일부를 전달하는 임무를 맡아 8만 루불 금괴를 성공적으로 전달하였으나 1921년 2월 2차 4만 루블의 금괴를 추가로 전달하는 과정에서 러시아 몽골 점령군에 속해 있던 일본군에 의해 교살되었다. 당시 그의 나이 38세였다.
2001년 몽골 울란바토르시에 '이태준 기념공원'이 조성되었으며,기념공원에는 기념관, 가묘, 추모비, 비석 등이 있다.
1980년 대한민국 대통령표창 서훈, 1990년 대한민국 건국훈장 애족장 추서,국가보훈처의 2017년 2월 이달의 독립운동가로 선정되었다.",몽골에서,몽골에서 神醫라 불린 순국선열 이태준(李泰俊) (1883.∼1921.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조선후기 (persons.csv),,,,,,,persons.csv,persons.csv,,,,,,,,,,https://www.haman.go.kr/01834/01862/02188.web?amode=view&idx=2188,"신재 주세붕의 방손(傍孫)인 주재성(周宰成, 1681~1743) 선생은 칠원 무기사람으로 조선후기 학자이며 의병장이었다. 자는 성재(聖哉), 호는 국담(菊潭). 본관은 상주(尙州)였다. 어릴 때부터 비범하였으며 자신의 영달을 좇지 않고 오직 몸과 마음을 닦고 학업수양에 전념했다. 1728년 영조 4년 이인좌, 정희량이 난을 일으키자 의병을 세워 낙동강을 건너 대구에 이르매 관찰사 황준이 크게 기뻐하면서 김해 7읍의 군졸 3천을 주어 영호남의 요새인 분치령을 방어케 하였다. 전쟁 중 군량미가 부족하자 가산을 털어 군졸을 먹이니 사기충천하여 역적 정희량 등을 섬멸하고 난을 평정했다.
이에 군졸들이 국담공(菊潭公)의 은덕에 보답하기 위해 돌아오는 길에 공의 정원에 작은 연못을 파고 고기를 방사(放飼)하여 산수지락(山水之樂)을 누리게 하였는데 「菊潭」이라 명명한 이 연못은 1984년 12월 24일 중요민속자료 제208호로 지정되었다. 나라에서 긴히 중용하려 하였으나 벼슬에 나아가지 않고 오직 성현의 학문탐구에 전력하였으며 후진양성에 힘썼다. 선생이 돌아가신 3년 뒤 승정원 좌승지 겸 경연참찬관의 벼슬이 내려졌고 1783년 영남유생의 상소에 따라 정여(旌閭)가 내렸다.
선생의 문집을 후손들이 모아 1848년 현종때 담원집 2권과 부록 2권을 목재에 양면 판각한 국담문집책판이 전해오고 있으며 1985년 1월 14일 도 유형문화재 제242호로 지정되었다. 또한, 칠원읍 무기리 966번지 내 주재성의 생가에 있는 무기연당은 비교적 원래의 형태를 잘 간직하고 있는 조선 후기의 연못으로 정원문화 연구에 좋은 자료이기도 하다.",조선후기,조선후기 학자 주재성(周宰成) 선생 (1681~1743),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
